service_date,mode,route_or_line,total_monthly_weekday_ridership,average_monthly_weekday_ridersh,countofdates_weekday,total_monthly_ridership,average_monthly_ridership,countofdates,ObjectId
2018/04/01 04:00:00+00,Bus,Bus,7209477,343308,21,8658518,288617,30,352
2018/04/01 04:00:00+00,Commuter Rail,Commuter Rail,2530649,120507,21,2668943,88965,30,353
2018/04/01 04:00:00+00,Rail,Green Line,3893609,185410,21,4921868.37,164062,30,354
2018/04/01 04:00:00+00,Rail,Orange Line,4429086,210909,21,5279512.55,175984,30,355
2018/04/01 04:00:00+00,Rail,Red Line,5296118,252196,21,6259564.5,208652,30,356
2018/04/01 04:00:00+00,Bus,Silver Line,745154,35484,21,923508,30784,30,357
2018/04/01 04:00:00+00,The RIDE,The RIDE,138743,6607,21,166817,5561,30,358
2018/05/01 04:00:00+00,Rail,Blue Line,1564973,71135,22,1914307,61752,31,359
2018/05/01 04:00:00+00,Ferry,Boat-F1,75002,3409,22,,,31,360
2018/05/01 04:00:00+00,Ferry,Boat-F3,27552,1252,22,,,31,361
2018/05/01 04:00:00+00,Ferry,Boat-F4,25990,1181,22,,,31,362
2018/05/01 04:00:00+00,Bus,Bus,7862668,357394,22,9326564,300857,31,363
2018/05/01 04:00:00+00,Commuter Rail,Commuter Rail,2682524,121933,22,2816936,90869,31,364
2018/05/01 04:00:00+00,Rail,Green Line,3935310,178878,22,4823941.53,155611,31,365
2018/05/01 04:00:00+00,Rail,Orange Line,4686529,213024,22,5496140.63,177295,31,366
2018/05/01 04:00:00+00,Rail,Red Line,5632748,256034,22,6594259.6,212718,31,367
2018/05/01 04:00:00+00,Bus,Silver Line,817296,37150,22,988227,31878,31,368
2018/05/01 04:00:00+00,The RIDE,The RIDE,146907,6678,22,173029,5582,31,369
2018/06/01 04:00:00+00,Rail,Blue Line,1506127,71720,21,1886056.7,62869,30,370
2018/06/01 04:00:00+00,Ferry,Boat-F1,76176,3627,21,,,30,371
2018/06/01 04:00:00+00,Ferry,Boat-F3,33925,1615,21,,,30,372
2018/06/01 04:00:00+00,Ferry,Boat-F4,31816,1515,21,,,30,373
2018/06/01 04:00:00+00,Bus,Bus,7274606,346410,21,8779719,292657,30,374
2018/06/01 04:00:00+00,Commuter Rail,Commuter Rail,2581136,122911,21,2723772,90792,30,375
2018/06/01 04:00:00+00,Rail,Green Line,3749827,178563,21,4689139.109999999,156305,30,376
2018/06/01 04:00:00+00,Rail,Orange Line,4439933,211425,21,5294947.75,176498,30,377
2018/06/01 04:00:00+00,Rail,Red Line,5337791,254181,21,6378249.9,212608,30,378
2018/06/01 04:00:00+00,Bus,Silver Line,784891,37376,21,968609,32287,30,379
2018/06/01 04:00:00+00,The RIDE,The RIDE,136637,6507,21,164448,5482,30,380
2018/07/01 04:00:00+00,Rail,Blue Line,1452009,1452009,21,1871505,1871505,31,381
2018/07/01 04:00:00+00,Bus,Bus,6996749,6996749,21,8429273,8429273,31,382
2018/07/01 04:00:00+00,Commuter Rail,Commuter Rail,2545179,2545179,21,2583913,2583913,31,383
2018/07/01 04:00:00+00,Ferry,Ferry,153951,153951,21,193685,193685,31,384
2018/07/01 04:00:00+00,Rail,Green Line,3841351,3841351,21,4854824,4854824,31,385
2018/07/01 04:00:00+00,Rail,Orange Line,4165306,4165306,21,5029552,5029552,31,386
